,1000 Questions,,,1,20%
 233 ,"""Ekistics"" or the ""science of human settlements"" by Dr Konstantinos Doxiadis was built upon the concept of ""basic needs; which were later categorized by Johann Galtung into 'material survival & security needs; ""social or enabling needs,"" and non-material 'human needs"". Which grouping of need was elaborated on by Abraham Maslow?
(A) food, water, clothing, shelter, sanitation, health care, energy/fuel, employment, peace and order
(B) self-expression, sex, procreation, recreation, education, communication, and transportation 
(C) physiological needs, physical safety, love and belongingness, esteem, self-actualization/self-realization 
(D) freedom, security, identity, well-being, ecological balance",C,,,
 234 ,"A member of the advocacy/activist/equity school of planning, this planner wrote the classic ‘’Eight Rungs in the Ladder of Citizen Participation' which describes the varying degrees of people's involvement in policies, plans, programs. 
(A) Ralph Nader 
(B) Susan S. Fainstein 
(C) Dr. Martin Luther King Jr 
(D) Sherry Arnstein",D,,,
 235 ,"The process of obtaining from people technical advice or opinion which may or may not be followed is called 
(A) Consultation 
(B) Faci-pulation 
(C) Cooperation 
(D) Collaboration",A,,,
 236 ,"The process of facilitating and arranging activities and action-plans of different interest-groups or sectors for the purpose of harmonizing, synchronizing, and consolidating inputs and outputs is called 
(A) Mainstreaming 
(B) Input-Output process 
(C) Coordination 
(D) Cooptation",C,,,
 237 ,"World Bank describes this process as the •expansion of assets and capabilities of poor people, as well as the expansion of their freedom of choice and action, to participate in, negotiate with, influence, control, and hold accountable institutions that affect their lives:
(A) Self-Management 
(B) Needs Achievement 
(C) Entitlement 
(D) Empowerment",D,,,
 238 ,"It is the international collective term for inclusive, non-State actors whose aims are neither to generate profits nor to seek governing power but to unite people around the broadest public interest based on ethical, cultural, religious, scientific, professional, or philanthropic considerations.
(A) Cause-Oriented Groups 
(B) Charity 
(C) Social Movements 
(D) Civil Society",D,,,
 239 ,"According to NSO 2003, heart diseases, cerebrovascular diseases, stroke, cancer, and malignant neoplasms which are degenerative disorders due to lifestyle, together account for 50% of total deaths, & are called leading causes of 
(A) Fatality 
(B) Terminality 
(C) Corporeality 
(D) Mortality ",D,,,
 240 ,"Morbidity' essentially refers to 
(A) mental insanity cases per 1000 population 
(B) incidence of disease per 1000 population 
(C) rate of contagion of epidemic every 72 hours 
(D) outbreak of plagues and pandemics every 3 years",B,,,
 241 ,"The whole country has a population growth rate of 2.04% per annum while Town FGHIJ has growth rate of 1.4% per annum. Using the 'crude assumption' method of computing migration flows, which of following is likely true? 
(A) there is more out-migration from Town FGHIJ 
(BJ there is more in-migration to Town FGHIJ
(C) Immigration and Emigration cancel out each other 
(D) Poor transport to Town FGHIJ makes movement difficult.",A,,,
 242 ,"Between census years 1990 and 2007, the lowest population growth rates per annum in Metro Manila occurred in San Juan, -0.03%; City of Manila, 0.09%; Pasay, 0.22%; Makati, 0.3%; Mandaluyong, 0.53% (versus highest rate at 2.12% in Taguig). Which of following statements, all valid, most considers sustainable capacity and livability? 
(A) These NCR areas have higher daytime population than nighttime population. 
(B) These NCR areas are likely approaching their viable population limits. 
(C) These NCR areas tend to physically decay with population density beyond a tolerable range. 
(D) New or young families in these NCR areas are likely to settle somewhere else. ",B,,,
 243 ,"The main difference between 'birth rate' and 'fertility rate' is 
(A) 'birth rate' pertains to fecundity of a woman while 'fertility rate' pertains to quantity & intensity of her sexual activity 
(B) 'birth rate' pertains to babies who survive while 'fertility rate' Includes pregnancies which may or may not succeed 
(C) 'birth rate' refers to births in relation to total population while 'fertility rate' is in relation to average childbearing woman 
(D) 'birth rate' pertains to live births while 'fertility rate' includes still births, premature deliveries, abortions & miscarriage",C,,,
 244 ,"17% of surveyed women wanted 2.7 average births in contrast to aggregate fertility rate of 3.5 births per woman; 50% of women don't want any more children; 9% of women wanted to space births but could not do so, and nearly 50% of women between ages 15 and 24 have had pre-marital sex and have experienced unwanted pregnancies. Which rational conclusion is supported by above data from ESCAP study1998? 
(A) Filipinos' fondness for babies is waning. 
(B) Filipino women are more burdened compared to men when it comes to birth control 
(C) the women in the survey do not accurately represent the overall picture of Filipino womenfolk 
(D) there is apparently an unmet need for contraception and family' planning among Filipino women ",D,,,
 245 ,"Sex ratio' is defined as
(A) the average number that men and women have sex per week within a marital relationship
(B) the average number of boys versus girls in a typical family 
(C) the number of males in total population divided by the number of females multiplied by 100 
(D) the number of females in total population divided by the number of males times 100",C,,,
 246 ,"The declared population policy of the present Philippine government (2001-2010) aims to 
(A) uplift 'reproductive health' of women as basis of population management 
(B) support couples in making decisions on the timing, spacing, and the number of children they want in accordance with their cultural and religious be6efs 
(C) encourage use of contraception among married couples 
(D) enforce one-child rule for all couples",B,,,
 247 ,"The central difference between a 'census' and a 'survey' is that 
(A) census makes use of questionaires while surveys make use of telephone Interviews 
(B) census involves complete enumeration while survey involves sampling
(C) census is done every 10 years while survey can be done by anyone anytime anywhere 
(D) only qualified demographers and statisticians ought to conduct a census
",B,,,
 248 ,"Because census age-groupings do not coincide with school-going ages for primary, secondary and tertiary schools, this method is used to disaggregate school-age population within a bracket into workable components.
(A) sprague multiplier 
(B) sprengler multiplier 
(C) survival and dropout rate 
(D) disambiguation",A,,,
 249 ,"This demographic concept refers to any age-group that is observed through time as its members are assumed, for the purpose of analysis, to go through roughly similar experiences. 
(A) cohort 
(B) array 
(C) cluster 
(D) bracket",A,,,
 250 ,"Which method uses population of larger geographic area to 'interpolate' population of a smaller geographic area?  
(A) 'step down' or area ratio method 
(B) logistic method 
(C) component method 
(D) shift share",A,,,
 251 ,"All of the following are of productive age, but only one is strictly counted as part of the 'Labor Force.
(A) 16-year-o!d who dropped out of school and became a houseboy 
(B) 67 -year-old BSC degree-holder who owns and operates a neighborhood variety or sari-sari store 
(C) 20 year old on his third year of the course. Bachelor of Science in information Technology Mgt
(D) 32-year old virgin entering the nunnery as a religious novice.",A,,,
 252 ,"In welfare-onented societies, this is a shelter program designed to help homeless individuals and families progress toward self-sufficiency in an environment of security and support, serving as a middle point between emergency shelter and permanent housing for a timeframe of six months to two years. 
(A) Mass Housing 
(B) Transitional Housing
(C) Public Row housing 
(D) Cooperative Housing",B,,,
 253 ,"In the absence of an operational Local Housing Board, which unit ought to prepare the local shelter plan of an LGU? 
(A) Planning and Development Office
(B) Local Development Council 
(C) Subdivision Homeowners Association 
(D) Association of Barangay Captains",B,,,
